Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,solverBased,0.397,1.0,1.0
7z,solverBased,0.398,1.0,1.0
7z,solverBased,0.399,1.0,1.0
7z,solverBased,0.4,1.0,1.0
7z,solverBased,0.401,1.0,1.0
7z,solverBased,0.402,1.0,1.0
7z,solverBased,0.403,1.0,1.0
7z,solverBased,0.404,1.0,1.0
7z,solverBased,0.405,1.0,1.0
7z,solverBased,0.406,1.0,1.0
7z,solverBased,0.407,1.0,1.0
7z,solverBased,0.408,1.0,1.0
7z,solverBased,0.409,1.0,1.0
7z,solverBased,0.41,1.0,1.0
7z,solverBased,0.411,1.0,1.0
7z,solverBased,0.412,1.0,1.0
7z,solverBased,0.413,1.0,1.0
7z,solverBased,0.414,1.0,1.0
7z,solverBased,0.415,1.0,1.0
7z,solverBased,0.416,1.0,1.0
7z,solverBased,0.417,1.0,1.0
7z,solverBased,0.418,1.0,1.0
7z,solverBased,0.419,1.0,1.0
7z,solverBased,0.42,1.0,1.0
7z,solverBased,0.421,1.0,1.0
7z,solverBased,0.422,1.0,1.0
7z,solverBased,0.423,1.0,1.0
7z,solverBased,0.424,1.0,1.0
7z,solverBased,0.425,1.0,1.0
7z,solverBased,0.426,1.0,1.0
7z,solverBased,0.427,1.0,1.0
7z,solverBased,0.428,1.0,1.0
7z,solverBased,0.429,1.0,1.0
7z,solverBased,0.43,1.0,1.0
7z,solverBased,0.431,1.0,1.0
7z,solverBased,0.432,1.0,1.0
7z,solverBased,0.433,1.0,1.0
7z,solverBased,0.434,1.0,1.0
7z,solverBased,0.435,1.0,1.0
7z,solverBased,0.436,1.0,1.0
7z,solverBased,0.437,1.0,1.0
7z,solverBased,0.438,1.0,1.0
7z,solverBased,0.439,1.0,1.0
7z,solverBased,0.44,1.0,1.0
7z,solverBased,0.441,1.0,1.0
7z,solverBased,0.442,1.0,1.0
7z,solverBased,0.443,1.0,1.0
7z,solverBased,0.444,1.0,1.0
7z,solverBased,0.445,1.0,1.0
7z,solverBased,0.446,1.0,1.0
7z,solverBased,0.447,1.0,1.0
7z,solverBased,0.448,1.0,1.0
7z,solverBased,0.449,1.0,1.0
7z,solverBased,0.45,1.0,1.0
7z,solverBased,0.451,1.0,1.0
7z,solverBased,0.452,1.0,1.0
7z,solverBased,0.453,1.0,1.0
7z,solverBased,0.454,1.0,1.0
7z,solverBased,0.455,1.0,1.0
7z,solverBased,0.456,1.0,1.0
7z,solverBased,0.457,1.0,1.0
7z,solverBased,0.458,1.0,1.0
7z,solverBased,0.459,1.0,1.0
7z,solverBased,0.46,1.0,1.0
7z,solverBased,0.461,1.0,1.0
7z,solverBased,0.462,1.0,1.0
7z,solverBased,0.463,1.0,1.0
7z,solverBased,0.464,1.0,1.0
7z,solverBased,0.465,1.0,1.0
7z,solverBased,0.466,1.0,1.0
7z,solverBased,0.467,1.0,1.0
7z,solverBased,0.468,1.0,1.0
7z,solverBased,0.469,1.0,1.0
7z,solverBased,0.47,1.0,1.0
7z,solverBased,0.471,1.0,1.0
7z,solverBased,0.472,1.0,1.0
7z,solverBased,0.473,1.0,1.0
7z,solverBased,0.474,1.0,1.0
7z,solverBased,0.475,1.0,1.0
7z,solverBased,0.476,1.0,1.0
7z,solverBased,0.477,1.0,1.0
7z,solverBased,0.478,1.0,1.0
7z,solverBased,0.479,1.0,1.0
7z,solverBased,0.48,1.0,1.0
7z,solverBased,0.481,1.0,1.0
7z,solverBased,0.482,1.0,1.0
7z,solverBased,0.483,1.0,1.0
7z,solverBased,0.484,1.0,1.0
7z,solverBased,0.485,1.0,1.0
7z,solverBased,0.486,1.0,1.0
7z,solverBased,0.487,1.0,1.0
7z,solverBased,0.488,1.0,1.0
7z,solverBased,0.489,1.0,1.0
7z,solverBased,0.49,1.0,1.0
7z,solverBased,0.491,1.0,1.0
7z,solverBased,0.492,1.0,1.0
7z,solverBased,0.493,1.0,1.0
7z,solverBased,0.494,1.0,1.0
7z,solverBased,0.495,1.0,1.0
7z,solverBased,0.496,1.0,1.0
7z,solverBased,0.497,1.0,1.0
7z,solverBased,0.498,1.0,1.0
7z,solverBased,0.499,1.0,1.0
7z,solverBased,0.5,1.0,1.0
7z,solverBased,0.501,1.0,1.0
7z,solverBased,0.502,1.0,1.0
7z,solverBased,0.503,1.0,1.0
7z,solverBased,0.504,1.0,1.0
7z,solverBased,0.505,1.0,1.0
7z,solverBased,0.506,1.0,1.0
7z,solverBased,0.507,1.0,1.0
7z,solverBased,0.508,1.0,1.0
7z,solverBased,0.509,1.0,1.0
7z,solverBased,0.51,1.0,1.0
7z,solverBased,0.511,1.0,1.0
7z,solverBased,0.512,1.0,1.0
7z,solverBased,0.513,1.0,1.0
7z,solverBased,0.514,1.0,1.0
7z,solverBased,0.515,1.0,1.0
7z,solverBased,0.516,1.0,1.0
7z,solverBased,0.517,1.0,1.0
7z,solverBased,0.518,1.0,1.0
7z,solverBased,0.519,1.0,1.0
7z,solverBased,0.52,1.0,1.0
7z,solverBased,0.521,1.0,1.0
7z,solverBased,0.522,1.0,1.0
7z,solverBased,0.523,1.0,1.0
7z,solverBased,0.524,1.0,1.0
7z,solverBased,0.525,1.0,1.0
7z,solverBased,0.526,1.0,1.0
7z,solverBased,0.527,1.0,1.0
7z,solverBased,0.528,1.0,1.0
7z,solverBased,0.529,1.0,1.0
7z,solverBased,0.53,1.0,1.0
7z,solverBased,0.531,1.0,1.0
7z,solverBased,0.532,1.0,1.0
7z,solverBased,0.533,1.0,1.0
7z,solverBased,0.534,1.0,1.0
7z,solverBased,0.535,1.0,1.0
7z,solverBased,0.536,1.0,1.0
7z,solverBased,0.537,1.0,1.0
7z,solverBased,0.538,1.0,1.0
7z,solverBased,0.539,1.0,1.0
7z,solverBased,0.54,1.0,1.0
7z,solverBased,0.541,1.0,1.0
7z,solverBased,0.542,1.0,1.0
7z,solverBased,0.543,1.0,1.0
7z,solverBased,0.544,1.0,1.0
7z,solverBased,0.545,1.0,1.0
7z,solverBased,0.546,1.0,1.0
7z,solverBased,0.547,1.0,1.0
7z,solverBased,0.548,1.0,1.0
7z,solverBased,0.549,1.0,1.0
7z,solverBased,0.55,1.0,1.0
7z,solverBased,0.551,1.0,1.0
7z,solverBased,0.552,1.0,1.0
7z,solverBased,0.553,1.0,1.0
7z,solverBased,0.554,1.0,1.0
7z,solverBased,0.555,1.0,1.0
7z,solverBased,0.556,1.0,1.0
7z,solverBased,0.557,1.0,1.0
7z,solverBased,0.558,1.0,1.0
7z,solverBased,0.559,1.0,1.0
7z,solverBased,0.56,1.0,1.0
7z,solverBased,0.561,1.0,1.0
7z,solverBased,0.562,1.0,1.0
7z,solverBased,0.563,1.0,1.0
7z,solverBased,0.564,1.0,1.0
7z,solverBased,0.565,1.0,1.0
7z,solverBased,0.566,1.0,1.0
7z,solverBased,0.567,1.0,1.0
7z,solverBased,0.568,1.0,1.0
7z,solverBased,0.569,1.0,1.0
7z,solverBased,0.57,1.0,1.0
7z,solverBased,0.571,1.0,1.0
7z,solverBased,0.572,1.0,1.0
7z,solverBased,0.573,1.0,1.0
7z,solverBased,0.574,1.0,1.0
7z,solverBased,0.575,1.0,1.0
7z,solverBased,0.576,1.0,1.0
7z,solverBased,0.577,1.0,1.0
7z,solverBased,0.578,1.0,1.0
7z,solverBased,0.579,1.0,1.0
7z,solverBased,0.58,1.0,1.0
7z,solverBased,0.581,1.0,1.0
7z,solverBased,0.582,1.0,1.0
7z,solverBased,0.583,1.0,1.0
7z,solverBased,0.584,1.0,1.0
7z,solverBased,0.585,1.0,1.0
7z,solverBased,0.586,1.0,1.0
7z,solverBased,0.587,1.0,1.0
7z,solverBased,0.588,1.0,1.0
7z,solverBased,0.589,1.0,1.0
7z,solverBased,0.59,1.0,1.0
7z,solverBased,0.591,1.0,1.0
7z,solverBased,0.592,1.0,1.0
7z,solverBased,0.593,1.0,1.0
7z,solverBased,0.594,1.0,1.0
7z,solverBased,0.595,1.0,1.0
7z,solverBased,0.596,1.0,1.0
7z,solverBased,0.597,1.0,1.0
7z,solverBased,0.598,1.0,1.0
7z,solverBased,0.599,1.0,1.0
7z,solverBased,0.6,1.0,1.0
7z,solverBased,0.601,1.0,1.0
7z,solverBased,0.602,1.0,1.0
7z,solverBased,0.603,1.0,1.0
7z,solverBased,0.604,1.0,1.0
7z,solverBased,0.605,1.0,1.0
7z,solverBased,0.606,1.0,1.0
7z,solverBased,0.607,1.0,1.0
7z,solverBased,0.608,1.0,1.0
7z,solverBased,0.609,1.0,1.0
7z,solverBased,0.61,1.0,1.0
7z,solverBased,0.611,1.0,1.0
7z,solverBased,0.612,1.0,1.0
7z,solverBased,0.613,1.0,1.0
7z,solverBased,0.614,1.0,1.0
7z,solverBased,0.615,1.0,1.0
7z,solverBased,0.616,1.0,1.0
7z,solverBased,0.617,1.0,1.0
7z,solverBased,0.618,1.0,1.0
7z,solverBased,0.619,1.0,1.0
7z,solverBased,0.62,1.0,1.0
7z,solverBased,0.621,1.0,1.0
7z,solverBased,0.622,1.0,1.0
7z,solverBased,0.623,1.0,1.0
7z,solverBased,0.624,1.0,1.0
7z,solverBased,0.625,1.0,1.0
7z,solverBased,0.626,1.0,1.0
7z,solverBased,0.627,1.0,1.0
7z,solverBased,0.628,1.0,1.0
7z,solverBased,0.629,1.0,1.0
7z,solverBased,0.63,1.0,1.0
7z,solverBased,0.631,1.0,1.0
7z,solverBased,0.632,1.0,1.0
7z,solverBased,0.633,1.0,1.0
7z,solverBased,0.634,1.0,1.0
7z,solverBased,0.635,1.0,1.0
7z,solverBased,0.636,1.0,1.0
7z,solverBased,0.637,1.0,1.0
7z,solverBased,0.638,1.0,1.0
7z,solverBased,0.639,1.0,1.0
7z,solverBased,0.64,1.0,1.0
7z,solverBased,0.641,1.0,1.0
7z,solverBased,0.642,1.0,1.0
7z,solverBased,0.643,1.0,1.0
7z,solverBased,0.644,1.0,1.0
7z,solverBased,0.645,1.0,1.0
7z,solverBased,0.646,1.0,1.0
7z,solverBased,0.647,1.0,1.0
7z,solverBased,0.648,1.0,1.0
7z,solverBased,0.649,1.0,1.0
7z,solverBased,0.65,1.0,1.0
7z,solverBased,0.651,1.0,1.0
7z,solverBased,0.652,1.0,1.0
7z,solverBased,0.653,1.0,1.0
7z,solverBased,0.654,1.0,1.0
7z,solverBased,0.655,1.0,1.0
7z,solverBased,0.656,1.0,1.0
7z,solverBased,0.657,1.0,1.0
7z,solverBased,0.658,1.0,1.0
7z,solverBased,0.659,1.0,1.0
7z,solverBased,0.66,1.0,1.0
7z,solverBased,0.661,1.0,1.0
7z,solverBased,0.662,1.0,1.0
7z,solverBased,0.663,1.0,1.0
7z,solverBased,0.664,1.0,1.0
7z,solverBased,0.665,1.0,1.0
7z,solverBased,0.666,1.0,1.0
7z,solverBased,0.667,1.0,1.0
7z,solverBased,0.668,1.0,1.0
7z,solverBased,0.669,1.0,1.0
7z,solverBased,0.67,1.0,1.0
7z,solverBased,0.671,1.0,1.0
7z,solverBased,0.672,1.0,1.0
7z,solverBased,0.673,1.0,1.0
7z,solverBased,0.674,1.0,1.0
7z,solverBased,0.675,1.0,1.0
7z,solverBased,0.676,1.0,1.0
