Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,DiversifiedDistanceBased,0.118,1.0,0.9999954718443904
BerkeleyDBC,DiversifiedDistanceBased,0.119,1.0,0.9999959482837392
BerkeleyDBC,DiversifiedDistanceBased,0.12,1.0,0.999996375051251
BerkeleyDBC,DiversifiedDistanceBased,0.121,1.0,0.9999967572777072
BerkeleyDBC,DiversifiedDistanceBased,0.122,1.0,0.9999970995688627
BerkeleyDBC,DiversifiedDistanceBased,0.123,1.0,0.9999974060586645
BerkeleyDBC,DiversifiedDistanceBased,0.124,1.0,0.9999976804571253
BerkeleyDBC,DiversifiedDistanceBased,0.125,1.0,0.9999979260933881
BerkeleyDBC,DiversifiedDistanceBased,0.126,1.0,0.9999981459544562
BerkeleyDBC,DiversifiedDistanceBased,0.127,1.0,0.9999983427200236
BerkeleyDBC,DiversifiedDistanceBased,0.128,1.0,0.9999985187937926
BerkeleyDBC,DiversifiedDistanceBased,0.129,1.0,0.9999986763316314
BerkeleyDBC,DiversifiedDistanceBased,0.13,1.0,0.9999988172668851
BerkeleyDBC,DiversifiedDistanceBased,0.131,1.0,0.9999989433331278
BerkeleyDBC,DiversifiedDistanceBased,0.132,1.0,0.9999990560846095
BerkeleyDBC,DiversifiedDistanceBased,0.133,1.0,0.9999991569146308
BerkeleyDBC,DiversifiedDistanceBased,0.134,1.0,0.9999992470720526
BerkeleyDBC,DiversifiedDistanceBased,0.135,1.0,0.9999993276761285
BerkeleyDBC,DiversifiedDistanceBased,0.136,1.0,0.9999993997298287
BerkeleyDBC,DiversifiedDistanceBased,0.137,1.0,0.9999994641318066
BerkeleyDBC,DiversifiedDistanceBased,0.138,1.0,0.9999995216871475
BerkeleyDBC,DiversifiedDistanceBased,0.139,1.0,0.9999995731170173
BerkeleyDBC,DiversifiedDistanceBased,0.14,1.0,0.999999619067329
BerkeleyDBC,DiversifiedDistanceBased,0.141,1.0,0.9999996601165206
BerkeleyDBC,DiversifiedDistanceBased,0.142,1.0,0.9999996967825374
BerkeleyDBC,DiversifiedDistanceBased,0.143,1.0,0.9999997295290985
BerkeleyDBC,DiversifiedDistanceBased,0.144,1.0,0.9999997587713211
BerkeleyDBC,DiversifiedDistanceBased,0.145,1.0,0.9999997848807657
BerkeleyDBC,DiversifiedDistanceBased,0.146,1.0,0.9999998081899637
BerkeleyDBC,DiversifiedDistanceBased,0.147,1.0,0.9999998289964783
BerkeleyDBC,DiversifiedDistanceBased,0.148,1.0,0.9999998475665471
BerkeleyDBC,DiversifiedDistanceBased,0.149,1.0,0.9999998641383488
BerkeleyDBC,SolverBased,0.0,0.0,0.0
BerkeleyDBC,SolverBased,0.001,0.07,0.09339555059192428
BerkeleyDBC,SolverBased,0.002,0.13,0.17814907903138177
BerkeleyDBC,SolverBased,0.003,0.16,0.2550527615546916
BerkeleyDBC,SolverBased,0.004,0.17,0.32482684626795744
BerkeleyDBC,SolverBased,0.005,0.19,0.38812612157195225
BerkeleyDBC,SolverBased,0.006,0.2,0.44554580852083614
BerkeleyDBC,SolverBased,0.007,0.21,0.4976269279154968
BerkeleyDBC,SolverBased,0.008,0.23,0.5448611884968069
BerkeleyDBC,SolverBased,0.009,0.27,0.5876954385519864
BerkeleyDBC,SolverBased,0.01,0.27,0.6265357195457308
BerkeleyDBC,SolverBased,0.011,0.28,0.6617509570068023
