Case Study,Sampling Strategy,Sample Set Size,Area
Hipacc,solverBased,260,0.0016061272362266389
Hipacc,solverBased,270,0.0014718039325025511
Hipacc,solverBased,280,0.001404765969641096
Hipacc,solverBased,290,0.0012973242144611976
Hipacc,solverBased,300,0.0011952582931439536
Hipacc,SRSSampling,10,-0.015522666666666117
Hipacc,SRSSampling,20,-0.0019821212121167806
Hipacc,SRSSampling,30,0.007524000000014983
Hipacc,SRSSampling,40,0.009197523809559344
Hipacc,SRSSampling,50,0.009430769230838647
Hipacc,SRSSampling,60,0.009347032258184486
Hipacc,SRSSampling,70,0.007818222222412737
Hipacc,SRSSampling,80,0.007282455284837246
Hipacc,SRSSampling,90,0.007295565217796253
Hipacc,SRSSampling,100,0.006569921569182948
Hipacc,SRSSampling,110,0.006305904762644138
Hipacc,SRSSampling,120,0.0058927213124353285
Hipacc,SRSSampling,130,0.005621090910311372
Hipacc,SRSSampling,140,0.005288253522651096
Hipacc,SRSSampling,150,0.005132280703629257
Hipacc,SRSSampling,160,0.004843506175114908
Hipacc,SRSSampling,170,0.004518620157768023
Hipacc,SRSSampling,180,0.0042851721644119435
Hipacc,SRSSampling,190,0.004000333337143628
Hipacc,SRSSampling,200,0.0037598283872824147
Hipacc,SRSSampling,210,0.0036349811372200953
Hipacc,SRSSampling,220,0.0034225045104196087
Hipacc,SRSSampling,230,0.0032830115010117782
Hipacc,SRSSampling,240,0.003104898079304701
Hipacc,SRSSampling,250,0.0030109206436004237
Hipacc,SRSSampling,260,0.002878793902893306
Hipacc,SRSSampling,270,0.002764470599169218
Hipacc,SRSSampling,280,0.002635432636307762
Hipacc,SRSSampling,290,0.0025619908811278643
Hipacc,SRSSampling,300,0.002448591626477287
JavaGC,random,10,-0.013444666666666119
JavaGC,random,20,0.0004092121212165516
JavaGC,random,30,0.0034473333333483163
JavaGC,random,40,0.0035008571428926773
JavaGC,random,50,0.003090769230838648
JavaGC,random,60,0.002341032258184483
JavaGC,random,70,0.0018928888890794057
JavaGC,random,80,0.0017437886181705783
JavaGC,random,90,0.001591565217796253
JavaGC,random,100,0.0011532549025162803
JavaGC,random,110,0.0008579047626441377
JavaGC,random,120,0.0003440546457686635
JavaGC,random,130,-2.242423021961365e-06
JavaGC,random,140,-0.00022241314401557055
JavaGC,random,150,-0.00018171929637074243
JavaGC,random,160,-0.00045582715821842416
JavaGC,random,170,-0.00017271317556531132
JavaGC,random,180,8.183883107861012e-05
JavaGC,random,190,1.1666670476961165e-05
JavaGC,random,200,8.849505394908147e-05
JavaGC,random,210,-3.635219611323803e-05
JavaGC,random,220,0.0001471711770862759
JavaGC,random,230,3.767816767844517e-05
JavaGC,random,240,-0.00010710192069529948
JavaGC,random,250,4.9587310267090264e-05
JavaGC,random,260,0.00018946056955997237
JavaGC,random,270,0.00021447059916921796
JavaGC,random,280,0.00024409930297442943
JavaGC,random,290,0.0001706575477945313
JavaGC,random,300,0.00012459162647728708
JavaGC,divDistBased,10,-0.05617333333333279
JavaGC,divDistBased,20,-0.06388412121211678
JavaGC,divDistBased,30,-0.06320799999998503
JavaGC,divDistBased,40,-0.05242514285710732
JavaGC,divDistBased,50,-0.04755256410249468
JavaGC,divDistBased,60,-0.02631630107514885
JavaGC,divDistBased,70,-0.01308444444425393
JavaGC,divDistBased,80,-0.008420878048496089
JavaGC,divDistBased,90,-0.0024271014488704144
JavaGC,divDistBased,100,-0.0006260784308170539
JavaGC,divDistBased,110,3.72380959774703e-05
JavaGC,divDistBased,120,0.0006387213124353293
JavaGC,divDistBased,130,0.0007777575769780382
JavaGC,divDistBased,140,0.0006049201893177622
JavaGC,divDistBased,150,0.0003582807036292568
JavaGC,divDistBased,160,0.0008415061751149089
JavaGC,divDistBased,170,0.0009652868244346888
JavaGC,divDistBased,180,0.0008871721644119436
JavaGC,divDistBased,190,0.0009883333371436282
JavaGC,divDistBased,200,0.0008538283872824152
JavaGC,divDistBased,210,0.0007116478038867624
JavaGC,divDistBased,220,0.0005965045104196092
JavaGC,divDistBased,230,0.00046834483434511165
JavaGC,divDistBased,240,0.00030756474597136695
JavaGC,divDistBased,250,0.00036358731026709014
JavaGC,divDistBased,260,0.00024812723622663884
JavaGC,divDistBased,270,0.00016713726583588446
JavaGC,divDistBased,280,0.00013609930297442933
JavaGC,divDistBased,290,0.0002079908811278646
JavaGC,divDistBased,300,0.00010792495981062034
JavaGC,solverBased,10,-0.2746133333333328
JavaGC,solverBased,20,-0.29473545454545014
JavaGC,solverBased,30,-0.19411999999998503
JavaGC,solverBased,40,-0.16294047619044064
JavaGC,solverBased,50,-0.16343256410249465
JavaGC,solverBased,60,-0.09163430107514885
JavaGC,solverBased,70,-0.07857244444425393
JavaGC,solverBased,80,-0.06724821138182942
JavaGC,solverBased,90,-0.06673843478220375
JavaGC,solverBased,100,-0.06454541176415038
JavaGC,solverBased,110,-0.06185076190402253
JavaGC,solverBased,120,-0.05520861202089801
JavaGC,solverBased,130,-0.051310242423021964
JavaGC,solverBased,140,-0.044084413144015566
JavaGC,solverBased,150,-0.04238238596303741
JavaGC,solverBased,160,-0.04048982715821842
JavaGC,solverBased,170,-0.03702471317556531
JavaGC,solverBased,180,-0.035826827835588056
JavaGC,solverBased,190,-0.0350109999961897
JavaGC,solverBased,200,-0.03035750494605092
JavaGC,solverBased,210,-0.026266352196113243
JavaGC,solverBased,220,-0.024696162156247058
JavaGC,solverBased,230,-0.024239655165654895
JavaGC,solverBased,240,-0.02422243525402864
JavaGC,solverBased,250,-0.024091746023066248
JavaGC,solverBased,260,-0.023995206097106703
JavaGC,solverBased,270,-0.02341486273416412
JavaGC,solverBased,280,-0.023391900697025576
JavaGC,solverBased,290,-0.022276675785538803
JavaGC,solverBased,300,-0.020745408373522716
JavaGC,SRSSampling,10,0.005336666666667216
JavaGC,SRSSampling,20,0.002225212121216555
JavaGC,SRSSampling,30,0.005240666666681647
JavaGC,SRSSampling,40,0.006393523809559342
JavaGC,SRSSampling,50,0.0051201025641719805
JavaGC,SRSSampling,60,0.006943032258184482
JavaGC,SRSSampling,70,0.00630422222241274
JavaGC,SRSSampling,80,0.005725121951503912
JavaGC,SRSSampling,90,0.005194898551129585
JavaGC,SRSSampling,100,0.004401254902516281
JavaGC,SRSSampling,110,0.004002571429310805
JavaGC,SRSSampling,120,0.00334672131243533
JavaGC,SRSSampling,130,0.002882424243644705
JavaGC,SRSSampling,140,0.0024855868559844293
JavaGC,SRSSampling,150,0.002216280703629257
JavaGC,SRSSampling,160,0.0022695061751149092
JavaGC,SRSSampling,170,0.0022339534911013557
JavaGC,SRSSampling,180,0.001965172164411944
JavaGC,SRSSampling,190,0.0017916666704769616
JavaGC,SRSSampling,200,0.001566495053949082
JavaGC,SRSSampling,210,0.0014276478038867625
JavaGC,SRSSampling,220,0.0015385045104196091
JavaGC,SRSSampling,230,0.001612344834345112
JavaGC,SRSSampling,240,0.0018228980793047005
JavaGC,SRSSampling,250,0.0018102539769337571
JavaGC,SRSSampling,260,0.0017207939028933052
JavaGC,SRSSampling,270,0.0015804705991692175
JavaGC,SRSSampling,280,0.0014860993029744292
JavaGC,SRSSampling,290,0.0014806575477945311
JavaGC,SRSSampling,300,0.0013859249598106203
LLVM,random,10,0.00748933333333388
LLVM,random,20,0.005370545454549887
LLVM,random,30,0.003668000000014983
LLVM,random,40,0.0023101904762260097
LLVM,random,50,0.0029641025641719814
LLVM,random,60,0.0025370322581844827
LLVM,random,70,0.0020342222224127393
LLVM,random,80,0.0019584552848372445
LLVM,random,90,0.0021368985511295855
